d1,d2,d3,d4,d5,d6,d7,d8,c1,c2,c3,c4,c5,c6,c7,h
0.0,0.0,5316.749235,259.8875526,0.0,0.0,5091.216892,0.0,1,1,0,0,2,1,0,0
0.0,0.0,0.0,5316.749235,259.8875526,0.0,0.0,5091.216892,1,0,0,2,1,0,0,0
0.0,0.0,0.0,0.0,5316.749235,259.8875526,0.0,0.0,0,0,2,1,0,0,0,0
3519.20948,0.0,0.0,0.0,0.0,5316.749235,259.8875526,0.0,0,2,1,0,0,0,0,2
776.1519423,3519.20948,0.0,0.0,0.0,0.0,5316.749235,259.8875526,2,1,0,0,0,0,2,2
0.0,776.1519423,3519.20948,0.0,0.0,0.0,0.0,5316.749235,1,0,0,0,0,2,2,0
417.6076037,0.0,776.1519423,3519.20948,0.0,0.0,0.0,0.0,0,0,0,0,2,2,0,2
0.0,417.6076037,0.0,776.1519423,3519.20948,0.0,0.0,0.0,0,0,0,2,2,0,2,0
1152.254124,0.0,417.6076037,0.0,776.1519423,3519.20948,0.0,0.0,0,0,2,2,0,2,0,2
1980.590788,1152.254124,0.0,417.6076037,0.0,776.1519423,3519.20948,0.0,0,2,2,0,2,0,2,1
1594.73456,1980.590788,1152.254124,0.0,417.6076037,0.0,776.1519423,3519.20948,2,2,0,2,0,2,1,2
313.8180439,1594.73456,1980.590788,1152.254124,0.0,417.6076037,0.0,776.1519423,2,0,2,0,2,1,2,2
6737.283706,313.8180439,1594.73456,1980.590788,1152.254124,0.0,417.6076037,0.0,0,2,0,2,1,2,2,1
0.0,6737.283706,313.8180439,1594.73456,1980.590788,1152.254124,0.0,417.6076037,2,0,2,1,2,2,1,0
0.0,0.0,6737.283706,313.8180439,1594.73456,1980.590788,1152.254124,0.0,0,2,1,2,2,1,0,0
2732.215046,0.0,0.0,6737.283706,313.8180439,1594.73456,1980.590788,1152.254124,2,1,2,2,1,0,0,2
2660.50912,2732.215046,0.0,0.0,6737.283706,313.8180439,1594.73456,1980.590788,1,2,2,1,0,0,2,1
1350.222969,2660.50912,2732.215046,0.0,0.0,6737.283706,313.8180439,1594.73456,2,2,1,0,0,2,1,2
0.0,1350.222969,2660.50912,2732.215046,0.0,0.0,6737.283706,313.8180439,2,1,0,0,2,1,2,0
2913.522834,0.0,1350.222969,2660.50912,2732.215046,0.0,0.0,6737.283706,1,0,0,2,1,2,0,2
1434.49332,2913.522834,0.0,1350.222969,2660.50912,2732.215046,0.0,0.0,0,0,2,1,2,0,2,2
0.0,1434.49332,2913.522834,0.0,1350.222969,2660.50912,2732.215046,0.0,0,2,1,2,0,2,2,0
371.6411329,0.0,1434.49332,2913.522834,0.0,1350.222969,2660.50912,2732.215046,2,1,2,0,2,2,0,2
9812.687616,371.6411329,0.0,1434.49332,2913.522834,0.0,1350.222969,2660.50912,1,2,0,2,2,0,2,1
2783.989179,9812.687616,371.6411329,0.0,1434.49332,2913.522834,0.0,1350.222969,2,0,2,2,0,2,1,2
695.9907445,2783.989179,9812.687616,371.6411329,0.0,1434.49332,2913.522834,0.0,0,2,2,0,2,1,2,2
83.44852617,695.9907445,2783.989179,9812.687616,371.6411329,0.0,1434.49332,2913.522834,2,2,0,2,1,2,2,2
0.0,83.44852617,695.9907445,2783.989179,9812.687616,371.6411329,0.0,1434.49332,2,0,2,1,2,2,2,0
218.07858,0.0,83.44852617,695.9907445,2783.989179,9812.687616,371.6411329,0.0,0,2,1,2,2,2,0,2
1321.995719,218.07858,0.0,83.44852617,695.9907445,2783.989179,9812.687616,371.6411329,2,1,2,2,2,0,2,2
108.3810454,1321.995719,218.07858,0.0,83.44852617,695.9907445,2783.989179,9812.687616,1,2,2,2,0,2,2,2
6.676366197,108.3810454,1321.995719,218.07858,0.0,83.44852617,695.9907445,2783.989179,2,2,2,0,2,2,2,2
1364.89714,6.676366197,108.3810454,1321.995719,218.07858,0.0,83.44852617,695.9907445,2,2,0,2,2,2,2,2
0.0,1364.89714,6.676366197,108.3810454,1321.995719,218.07858,0.0,83.44852617,2,0,2,2,2,2,2,0
2139.01795,0.0,1364.89714,6.676366197,108.3810454,1321.995719,218.07858,0.0,0,2,2,2,2,2,0,2
0.0,2139.01795,0.0,1364.89714,6.676366197,108.3810454,1321.995719,218.07858,2,2,2,2,2,0,2,0
0.0,0.0,2139.01795,0.0,1364.89714,6.676366197,108.3810454,1321.995719,2,2,2,2,0,2,0,0
1710.351813,0.0,0.0,2139.01795,0.0,1364.89714,6.676366197,108.3810454,2,2,2,0,2,0,0,2
183.2522474,1710.351813,0.0,0.0,2139.01795,0.0,1364.89714,6.676366197,2,2,0,2,0,0,2,2
0.0,183.2522474,1710.351813,0.0,0.0,2139.01795,0.0,1364.89714,2,0,2,0,0,2,2,0
0.0,0.0,183.2522474,1710.351813,0.0,0.0,2139.01795,0.0,0,2,0,0,2,2,0,0
474.1533063,0.0,0.0,183.2522474,1710.351813,0.0,0.0,2139.01795,2,0,0,2,2,0,0,2
0.0,474.1533063,0.0,0.0,183.2522474,1710.351813,0.0,0.0,0,0,2,2,0,0,2,0
118.8906541,0.0,474.1533063,0.0,0.0,183.2522474,1710.351813,0.0,0,2,2,0,0,2,0,2
0.0,118.8906541,0.0,474.1533063,0.0,0.0,183.2522474,1710.351813,2,2,0,0,2,0,2,0
0.0,0.0,118.8906541,0.0,474.1533063,0.0,0.0,183.2522474,2,0,0,2,0,2,0,0
0.0,0.0,0.0,118.8906541,0.0,474.1533063,0.0,0.0,0,0,2,0,2,0,0,0
0.0,0.0,0.0,0.0,118.8906541,0.0,474.1533063,0.0,0,2,0,2,0,0,0,2
0.0,0.0,0.0,0.0,0.0,118.8906541,0.0,474.1533063,2,0,2,0,0,0,2,0
